ID,Name,Concepticon_ID,Concepticon_Gloss,Chinese_Gloss,Number
1_sky,sky,1732,SKY,天,
2_sun,sun,1343,SUN,太阳,
4_moon,moon,1313,MOON,月亮,
5_star,star,1430,STAR,星星,
6_weather,weather,952,WEATHER,天气,
9_wind,wind,960,WIND,风,
10_rain,rain,658,RAIN (PRECIPITATION),雨,
11_rainbow,rainbow,1733,RAINBOW,虹,
12_snow,snow,784,SNOW,雪,
13_hail,hail,609,HAIL,雹子,
14_frost,frost,2034,FROST,霜,
15_dew,dew,1977,DEW,露水,
16_fog,fog,249,FOG,雾,
17_ice,ice,617,ICE,冰,
18_fire,fire,221,FIRE,火,
19_smoke,smoke,778,SMOKE (EXHAUST),烟(火~),
23_hillmountain,hill / mountain,639,MOUNTAIN,山,
24_hillsidemountainslope,hillside / mountain slope,3076,SLOPE,山坡,
25_valley,valley,921,VALLEY,山谷,
26_cliff,cliff,992,CLIFF,悬崖,
27_rock,rock,668,ROCK,岩石,
32_sea,sea,1474,SEA,海,
35_well,well,954,WELL,井,
38_road,road,667,ROAD,路,
43_stone,stone,857,STONE,石头,
44_sand,sand,671,SAND,沙子,
46_mud,mud,640,MUD,泥巴,
49_springwater,spring (water),849,SPRING (OF WATER),泉水,
50_forest,forest,420,FOREST,森林,
52_silver,silver,759,SILVER,银子,
54_iron,iron,621,IRON,铁,
57_aluminum,aluminum,3385,ALUMINIUM,铝,
58_coal,coal,2658,COAL,煤,
61_salt,salt,1274,SALT,盐,
63_plantash,plant ash,646,ASH,草木灰,
64_place,place,723,PLACE (POSITION),地方,
65_street,street,1362,STREET,街,
66_village,village,930,VILLAGE,村子,
67_household,household,,,人家,
69_temple,temple,911,TEMPLE,庙,
71_tomb,tomb,1773,GRAVE,坟,
72_towerpagoda,tower / pagoda,1671,TOWER,塔,
75_hair,hair,2648,HAIR (HEAD),头发,
78_eyebrow,eyebrow,1173,EYEBROW,眉毛,
79_eye,eye,1248,EYE,眼睛,
80_nose,nose,1221,NOSE,鼻子,
85_lip,lip,478,LIP,嘴唇,
88_chin,chin,1510,CHIN,下巴,
92_armpit,armpit,1886,ARMPIT,腋,
93_chest,chest,1592,CHEST,胸,
94_breast,breast,1402,BREAST,乳房,
95_milk,milk,635,MILK,奶汁,
96_belly,belly,1251,BELLY,肚子(腹部),
97_navel,navel,1838,NAVEL,肚脐,
101_knee,knee,1371,KNEE,膝盖,
