ID	DOCULECT	CONCEPT	VALUE	FORM	PROTO	PROTO_FORMS	COGIDS	TOKENS
4478	ProtoBurmish	?	*bam	bam¹	*bam	*bam	5	b a m ¹
4481	ProtoBurmish	?	*bamH	bam²	*bamH	*bamH	8	b a m ²
4486	ProtoBurmish	?	*bjai	bjai¹	*bjai	*bjai	13	b j ai ¹
4488	ProtoBurmish	?	*bje	bje¹	*bje	*bje	15	b j e ¹
4489	ProtoBurmish	?	*bai	bai¹	*bai	*bai	16	b ai ¹
4490	ProtoBurmish	?	*be	be¹	*be	*be	17	b e ¹
4492	ProtoBurmish	?	*biX	bi³	*biX	*biX	19	b i ³
4493	ProtoBurmish	?	*bjaiH	bjai²	*bjaiH	*bjaiH	20	b j ai ²
4494	ProtoBurmish	?	*bjiH	bji²	*bjiH	*bjiH	21	b j i ²
4497	ProtoBurmish	?	*beH	be²	*beH	*beH	24	b e ²
4498	ProtoBurmish	?	*bjiX	bji³	*bjiX	*bjiX	25	b j i ³
4499	ProtoBurmish	?	*bri	bri¹	*bri	*bri	26	b r i ¹
4500	ProtoBurmish	?	*briH	bri²	*briH	*briH	27	b r i ²
4501	ProtoBurmish	?	*briX	bri³	*briX	*briX	28	b r i ³
4505	ProtoBurmish	?	*brak	brak⁴	*brak	*brak	32	b r a k ⁴
4507	ProtoBurmish	?	*bjan	bjan¹	*bjan	*bjan	34	b j a n ¹
4508	ProtoBurmish	?	*bram	bram¹	*bram	*bram	35	b r a m ¹
4510	ProtoBurmish	?	*braŋ	braŋ¹	*braŋ	*braŋ	37	b r a ŋ ¹
4512	ProtoBurmish	?	*brik	brik⁴	*brik	*brik	39	b r i k ⁴
4524	ProtoBurmish	?	*buX	bu³	*buX	*buX	51	b u ³
4527	ProtoBurmish	?	*bim	bim¹	*bim	*bim	54	b i m ¹
4529	ProtoBurmish	?	*bip	bip⁴	*bip	*bip	56	b i p ⁴
4533	ProtoBurmish	?	*dzak	dzak⁴	*dzak	*dzak	60	dz a k ⁴
4535	ProtoBurmish	?	*dan	dan¹	*dan	*dan	62	d a n ¹
